Protein Code,Docking Score
1072.pdbqt,-8.997
6682.pdbqt,-8.997
6560.pdbqt,-8.996
5866.pdbqt,-8.996
3226.pdbqt,-8.996
3104.pdbqt,-8.996
6462.pdbqt,-8.995
8351.pdbqt,-8.995
4718.pdbqt,-8.995
8979.pdbqt,-8.995
7516.pdbqt,-8.993
4888.pdbqt,-8.993
3578.pdbqt,-8.991
7040.pdbqt,-8.991
3628.pdbqt,-8.99
6025.pdbqt,-8.99
7719.pdbqt,-8.99
4648.pdbqt,-8.989
3452.pdbqt,-8.989
1532.pdbqt,-8.988
5294.pdbqt,-8.988
7058.pdbqt,-8.988
4392.pdbqt,-8.988
1594.pdbqt,-8.988
7605.pdbqt,-8.988
3428.pdbqt,-8.988
4929.pdbqt,-8.987
4286.pdbqt,-8.987
8846.pdbqt,-8.987
1108.pdbqt,-8.987
3142.pdbqt,-8.986
1003.pdbqt,-8.984
8428.pdbqt,-8.984
2134.pdbqt,-8.984
506.pdbqt,-8.984
1752.pdbqt,-8.983
4598.pdbqt,-8.983
5584.pdbqt,-8.982
5246.pdbqt,-8.981
8318.pdbqt,-8.981
7730.pdbqt,-8.981
4742.pdbqt,-8.981
2913.pdbqt,-8.981
4204.pdbqt,-8.98
9022.pdbqt,-8.98
6538.pdbqt,-8.98
8336.pdbqt,-8.979
3416.pdbqt,-8.979
4132.pdbqt,-8.978
9024.pdbqt,-8.978
7272.pdbqt,-8.977
7773.pdbqt,-8.977
6540.pdbqt,-8.977
4846.pdbqt,-8.976
3838.pdbqt,-8.976
4520.pdbqt,-8.975
8860.pdbqt,-8.975
5354.pdbqt,-8.975
3858.pdbqt,-8.974
2378.pdbqt,-8.974
3300.pdbqt,-8.973
4830.pdbqt,-8.973
5194.pdbqt,-8.972
2476.pdbqt,-8.972
7208.pdbqt,-8.972
6418.pdbqt,-8.972
5476.pdbqt,-8.972
5390.pdbqt,-8.971
2848.pdbqt,-8.971
3633.pdbqt,-8.969
1288.pdbqt,-8.969
5541.pdbqt,-8.968
1347.pdbqt,-8.967
3406.pdbqt,-8.966
7438.pdbqt,-8.965
3336.pdbqt,-8.965
3756.pdbqt,-8.964
5176.pdbqt,-8.964
5710.pdbqt,-8.963
7832.pdbqt,-8.963
8120.pdbqt,-8.962
438.pdbqt,-8.962
7787.pdbqt,-8.962
1360.pdbqt,-8.962
3736.pdbqt,-8.962
3854.pdbqt,-8.961
2464.pdbqt,-8.961
8468.pdbqt,-8.961
2854.pdbqt,-8.961
5410.pdbqt,-8.959
8390.pdbqt,-8.959
10.pdbqt,-8.959
2368.pdbqt,-8.959
7192.pdbqt,-8.959
7076.pdbqt,-8.958
7778.pdbqt,-8.957
8200.pdbqt,-8.957
4688.pdbqt,-8.955
3188.pdbqt,-8.955
5244.pdbqt,-8.955
3530.pdbqt,-8.955
4222.pdbqt,-8.954
2146.pdbqt,-8.954
3654.pdbqt,-8.954
2548.pdbqt,-8.954
6362.pdbqt,-8.953
2036.pdbqt,-8.951
5102.pdbqt,-8.95
622.pdbqt,-8.95
276.pdbqt,-8.949
6351.pdbqt,-8.949
304.pdbqt,-8.949
9032.pdbqt,-8.947
8763.pdbqt,-8.947
9096.pdbqt,-8.947
8408.pdbqt,-8.947
2342.pdbqt,-8.947
8858.pdbqt,-8.946
4839.pdbqt,-8.946
6871.pdbqt,-8.946
8755.pdbqt,-8.945
7732.pdbqt,-8.945
4358.pdbqt,-8.945
2954.pdbqt,-8.945
859.pdbqt,-8.943
6862.pdbqt,-8.943
8768.pdbqt,-8.943
5696.pdbqt,-8.942
9108.pdbqt,-8.942
1722.pdbqt,-8.942
5298.pdbqt,-8.941
3552.pdbqt,-8.941
8920.pdbqt,-8.94
8138.pdbqt,-8.94
7467.pdbqt,-8.939
50.pdbqt,-8.939
7130.pdbqt,-8.939
6731.pdbqt,-8.939
5312.pdbqt,-8.939
6648.pdbqt,-8.938
514.pdbqt,-8.938
7652.pdbqt,-8.938
8792.pdbqt,-8.937
856.pdbqt,-8.936
7670.pdbqt,-8.936
1318.pdbqt,-8.935
72.pdbqt,-8.935
8470.pdbqt,-8.935
6392.pdbqt,-8.935
3370.pdbqt,-8.935
4594.pdbqt,-8.934
752.pdbqt,-8.933
7910.pdbqt,-8.933
7796.pdbqt,-8.933
1810.pdbqt,-8.933
3872.pdbqt,-8.932
9118.pdbqt,-8.932
6494.pdbqt,-8.932
8313.pdbqt,-8.932
4706.pdbqt,-8.93
3950.pdbqt,-8.929
4148.pdbqt,-8.929
1836.pdbqt,-8.929
